degradation,severity,coverage,selective_acc,error_admit_rate
clean,0,0.9,1.0,0.0
glare,1,0.83,1.0,0.0
glare,2,0.71,1.0,0.0
glare,3,0.44,1.0,0.0
jpeg,1,0.88,1.0,0.0
jpeg,2,0.86,1.0,0.0
jpeg,3,0.52,1.0,0.0
low_light,1,0.8,1.0,0.0
low_light,2,0.67,1.0,0.0
low_light,3,0.39,1.0,0.0
motion_blur,1,0.91,1.0,0.0
motion_blur,2,0.88,1.0,0.0
motion_blur,3,0.82,1.0,0.0
resample,1,0.9,1.0,0.0
resample,2,0.9,1.0,0.0
resample,3,0.76,1.0,0.0
rotation,1,0.87,1.0,0.0
rotation,2,0.88,1.0,0.0
rotation,3,0.88,1.0,0.0
